CRASH_ID,UNIT_NBR,PRSN_NBR,PRSN_TYPE_ID,PRSN_OCCPNT_POS_ID,PRSN_INJRY_SEV_ID,PRSN_AGE,PRSN_ETHNICITY_ID,PRSN_GNDR_ID,PRSN_EJCT_ID,PRSN_REST_ID,PRSN_AIRBAG_ID,PRSN_HELMET_ID,PRSN_SOL_FL,PRSN_ALC_SPEC_TYPE_ID,PRSN_ALC_RSLT_ID,PRSN_BAC_TEST_RSLT,PRSN_DRG_SPEC_TYPE_ID,PRSN_DRG_RSLT_ID,DRVR_DRG_CAT_1_ID,PRSN_DEATH_TIME,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT,DRVR_LIC_TYPE_ID,DRVR_LIC_STATE_ID,DRVR_LIC_CLS_ID,DRVR_ZIP
15148452,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,56,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,BLOOD,Positive,0.09,BLOOD,Positive,CNS STIMULANTS,00:28:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,78202
15156395,1,1,DRIVER OF MOTORCYCLE TYPE VEHICLE,FRONT LEFT,KILLED,47,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT WORN,N,BLOOD,NA,NA,BLOOD,UNKNOWN,UNKNOWN,19:25:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,76444
15158717,1,1,DRIVER,FRONT LEFT,KILLED,57,OTHER,MALE,NO,NONE,NOT DEPLOYED,NOT APPLICABLE,N,BLOOD,NA,NA,BLOOD,UNKNOWN,UNKNOWN,22:00:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,75862
15159136,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,3,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,17:48:00,0,0,0,0,0,0,1,NA,NA,NA,78723
15170778,2,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,57,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,23:32:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,77901
15181539,2,1,PASSENGER/OCCUPANT,FRONT LEFT,KILLED,20,HISPANIC,MALE,NO,NONE,"DEPLOYED, SIDE",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,02:35:00,0,0,0,0,0,0,1,ID CARD,Texas,UNLICENSED,77573
15183386,4,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,40,HISPANIC,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,BLOOD,Negative,0.07,BLOOD,Negative,NOT APPLICABLE,17:50:00,0,0,0,0,0,0,1,UNLICENSED,NA,UNLICENSED,78224
15187805,3,1,DRIVER,FRONT LEFT,KILLED,55,HISPANIC,MALE,NO,SHOULDER & LAP BELT,"DEPLOYED, FRONT",NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,02:30:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,79347
15196234,3,1,DRIVER,FRONT LEFT,KILLED,56,WHITE,MALE,NO,UNKNOWN,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,05:28:00,0,0,0,0,0,0,1,COMMERCIAL DRIVER LIC.,Missouri,OTHER/OUT OF STATE,64735
15240352,6,1,PEDESTRIAN,"PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",KILLED,45,WHITE,MALE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NONE,NA,NA,NONE,NOT APPLICABLE,NOT APPLICABLE,12:40:00,0,0,0,0,0,0,1,DRIVER LICENSE,Texas,CLASS C,78133
