CRASH_ID,UNIT_NBR,UNIT_DESC_ID,VEH_PARKED_FL,VEH_HNR_FL,VEH_LIC_STATE_ID,VIN,VEH_MOD_YEAR,VEH_COLOR_ID,VEH_MAKE_ID,VEH_MOD_ID,VEH_BODY_STYL_ID,EMER_RESPNDR_FL,OWNR_ZIP,FIN_RESP_PROOF_ID,FIN_RESP_TYPE_ID,VEH_DMAG_AREA_1_ID,VEH_DMAG_SCL_1_ID,FORCE_DIR_1_ID,VEH_DMAG_AREA_2_ID,VEH_DMAG_SCL_2_ID,FORCE_DIR_2_ID,VEH_INVENTORIED_FL,VEH_TRANSP_NAME,VEH_TRANSP_DEST,CONTRIB_FACTR_1_ID,CONTRIB_FACTR_2_ID,CONTRIB_FACTR_P1_ID,VEH_TRVL_DIR_ID,FIRST_HARM_EVT_INV_ID,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT
15306789,2,MOTOR VEHICLE,N,N,TX,1HD1GV4199K319879,NA,BLK,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,79605,1,LIABILITY INSURANCE POLICY,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,6,NA,NA,NA,N,NOT TOWED,NOT TOWED,NONE,NA,NA,NORTH,Y,0,0,1,0,0,1,0
15307231,1,MOTOR VEHICLE,N,N,TX,JH2RC44505M802194,2005,BLK,HONDA,NA,MOTORCYCLE,N,75803,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,NA,NA,NA,Y,"SHARPS WRECKER, 903-876-4094","811 W. HWY 175, FRANKSTON, TX",UNDER INFLUENCE - ALCOHOL,PASSED IN NO PASSING LANE,NA,SOUTH,Y,0,0,1,0,0,1,0
15309478,1,MOTOR VEHICLE,N,N,TX,JH2SC570X4M000208,2004,SIL,HONDA,NA,MOTORCYCLE,N,77803,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 4,12,NA,NA,NA,Y,SOUTHSIDE WRECKER INC,SOUTHSIDE WRECKER INC,FAILED TO CONTROL SPEED,HAD BEEN DRINKING,NA,SOUTH,Y,0,0,1,0,0,1,0
15310472,1,MOTOR VEHICLE,N,N,TX,1HD1KBM13DB618712,NA,YEL,HARLEY-DAVIDSON,NA,MOTORCYCLE,N,76058,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 2,12,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 1 MINIMUM,3,N,LONESTAR TOWING,101 MAXIE ST,DRIVER INATTENTION,FAILED TO YIELD ROW - TURNING LEFT,NA,SOUTH,Y,1,0,0,0,0,1,0
15311089,1,MOTOR VEHICLE,N,N,TX,JKAEXEA147A021647,2007,MUL,KAWASAKI,UNKNOWN,MOTORCYCLE,N,78205,2,NA,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 4,12,LEFT FRONT QUARTER DAMAGE ANGULAR IMPACT,DAMAGED 3,10,N,TEXAS TOWING,GROWDON,DRIVER INATTENTION,NA,ANIMAL ON ROAD- DOMESTIC,EAST,Y,0,1,0,0,0,1,0
15311401,1,MOTOR VEHICLE,N,N,TX,JYAVG04EX7A003687,2007,MAR,YAMAHA,UNKNOWN,MOTORCYCLE,N,78664,2,NA,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,12,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,9,N,CASH TOWING,"1501 BLACKJACK ST. LOCKHART, TX 78644",FAILED TO CONTROL SPEED,NA,DRIVER INATTENTION,WEST,Y,0,1,0,0,0,1,0
15312081,1,MOTOR VEHICLE,N,N,TX,1HD1GHV1XXY313096,1999,BLK,HARLEY-DAVIDSON,UNKNOWN,MOTORCYCLE,N,76431,1,PROOF OF LIABILITY INSURANCE,"MOTORCYCLE, SCOOTER, MOPED, ETC. ONLY",DAMAGED 1 MINIMUM,NA,NA,NA,NA,Y,CHICO AUTO PARTS,"602 S. WEATHERFORD ST. CHICO, TX",UNDER INFLUENCE - ALCOHOL,NA,NA,NORTHWEST,Y,0,0,1,0,0,1,0
15313056,1,MOTOR VEHICLE,N,N,TX,JYAVM01EX2A036369,2002,BLK,YAMAHA,NA,MOTORCYCLE,N,,2,NA,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 6,12,UNKNOWN,DAMAGED 6,3,Y,JN,DAVID MCBROOMS,CHANGED LANE WHEN UNSAFE,DRIVER INATTENTION,FAILED TO PASS TO LEFT SAFELY,UNKNOWN,Y,0,0,1,0,0,1,0
15313370,2,MOTOR VEHICLE,N,N,TX,JKBZGND16AA000038,NA,BLU,KAWASAKI,UNKNOWN,MOTORCYCLE,N,78575,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 1 MINIMUM,12,DISTRIBUTED RIGHT SIDE DAMAGE PARALLEL IMPACT,DAMAGED 1 MINIMUM,3,N,,,NONE,NA,NA,SOUTH,Y,0,0,0,1,0,0,0
15315969,1,MOTOR VEHICLE,N,N,TX,RKRSE48YXBA060417,NA,BLK,YAMAHA,NA,MOTORCYCLE,N,79106,1,PROOF OF LIABILITY INSURANCE,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 2,12,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,Y,AMARILLO WRECKER,"1105 N. MIRROR, AMA, TX 79107 374-3806",FAILED TO CONTROL SPEED,NA,NA,EAST,Y,0,0,1,0,0,1,0
